number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
10,1073.0962353708721,2026-05-24 16:10:36.637066,2026-05-24 16:10:48.429035,0 days 00:00:11.791969,0.10535184395359605,13.516042278973632,19487,0.016184292751352976,0.9506497602826057,0.8584153098374513,0.8796424783051933,1.1715120602872366,395,COMPLETE
11,1044.2498089365638,2026-05-24 16:10:40.456763,2026-05-24 16:10:49.799634,0 days 00:00:09.342871,0.06401703835748132,24.079307807795157,11369,0.09083377454357969,0.9456738470046768,0.8603950047572222,0.5951816506587888,0.498744452611318,317,COMPLETE
12,1101.7306008547462,2026-05-24 16:10:47.368173,2026-05-24 16:10:59.232391,0 days 00:00:11.864218,0.05545745014928862,29.502390048475938,11366,0.018153208431216636,0.9976474079013063,0.9517288391111821,0.5006167331528604,1.7869522889603764,503,COMPLETE
13,841.9344221284242,2026-05-24 16:10:48.078252,2026-05-24 16:11:04.772131,0 days 00:00:16.693879,0.05172237327708976,29.716342091893964,11242,0.02219858128935258,0.7736140874562306,0.9542871291037567,0.7958975458524937,1.738225425581951,519,COMPLETE
14,1123.929339488827,2026-05-24 16:10:49.800463,2026-05-24 16:11:04.069153,0 days 00:00:14.268690,0.041290502004780745,10.311702514626102,19604,0.019874081725751135,0.9982238631159902,0.886377948078936,0.8116410821190215,1.797360937762098,491,COMPLETE
15,1120.1960091122037,2026-05-24 16:10:49.801456,2026-05-24 16:11:05.457852,0 days 00:00:15.656396,0.042892147509480436,10.978728583466841,19149,0.013834327277962776,0.9973600774845678,0.8879654204182879,0.8029150861320428,1.7396463241857931,479,COMPLETE
16,1100.7892585374723,2026-05-24 16:10:59.904312,2026-05-24 16:11:09.922732,0 days 00:00:10.018420,0.0414876696978399,29.736625739328375,11140,0.020648609723950617,0.9975559372099073,0.9593792255696847,0.5064625013153496,1.7896920647262915,490,COMPLETE
17,872.2508398058984,2026-05-24 16:11:04.416731,2026-05-24 16:11:13.633077,0 days 00:00:09.216346,0.032592475822817726,10.222391195831229,11446,0.012664415184430634,0.7974524106118694,0.8863091155449986,0.5048194080205782,1.7890759722604277,501,COMPLETE
18,896.4978036876843,2026-05-24 16:11:05.802758,2026-05-24 16:11:19.819562,0 days 00:00:14.016804,0.029688455764370094,10.119945857957454,17267,0.03717476094390339,0.8072315406935797,0.8883239496537589,0.7769967952102322,1.5362344258510998,451,COMPLETE
19,778.7369698773031,2026-05-24 16:11:07.182636,2026-05-24 16:11:14.311625,0 days 00:00:07.128989,0.029118692773628316,10.445730017684495,19957,0.0361745237936153,0.702232824539714,0.8866326393119034,0.7669798268525594,1.4969858214953837,438,COMPLETE
20,912.3051964096082,2026-05-24 16:11:10.951376,2026-05-24 16:11:30.806558,0 days 00:00:19.855182,0.02213501759633423,10.598391839196328,17304,0.03397439651649924,0.8177945889186455,0.8887738968371502,0.7535120938770973,1.5472247523443055,417,COMPLETE
21,916.3083343669891,2026-05-24 16:11:13.634274,2026-05-24 16:11:21.207997,0 days 00:00:07.573723,0.021034354538625386,12.478026385789486,19936,0.0351185383118295,0.8201252712336353,0.8931718120532747,0.7614691356194574,1.5484617817304547,592,COMPLETE
22,920.7737471636723,2026-05-24 16:11:14.649464,2026-05-24 16:11:29.769494,0 days 00:00:15.120030,0.08121625465883925,12.757275432208473,17272,0.03998350747524984,0.8290237374082663,0.891890722195214,0.7775655033997347,1.5947421484732862,590,COMPLETE
